model,behaviour,domain,language,pooling,layer,mean_cosine_distance,mean_cosine_similarity,n_pairs
Qwen2.5-1.5B,authority_influence,education_general_knowledge,en,last_token,8,0.013366286947186667,0.9866337130528133,4
Qwen2.5-1.5B,authority_influence,education_general_knowledge,en,last_token,9,0.013154352524765933,0.9868456474752341,4
Qwen2.5-1.5B,authority_influence,education_general_knowledge,en,last_token,10,0.013226403908288775,0.9867735960917112,4
Qwen2.5-1.5B,authority_influence,education_general_knowledge,en,last_token,11,0.014223848780799075,0.9857761512192009,4
Qwen2.5-1.5B,authority_influence,education_general_knowledge,en,last_token,12,0.011490683510682276,0.9885093164893177,4
Qwen2.5-1.5B,authority_influence,education_general_knowledge,en,last_token,13,0.010381342251925302,0.9896186577480747,4
Qwen2.5-1.5B,authority_influence,education_general_knowledge,en,last_token,14,0.01187768172848297,0.9881223182715171,4
Qwen2.5-1.5B,authority_influence,education_general_knowledge,en,last_token,15,0.009388275658686357,0.9906117243413136,4
Qwen2.5-1.5B,authority_influence,education_general_knowledge,en,last_token,16,0.013573823616947561,0.9864261763830524,4
Qwen2.5-1.5B,authority_influence,education_general_knowledge,en,last_token,17,0.01941217156168948,0.9805878284383105,4
Qwen2.5-1.5B,authority_influence,education_general_knowledge,en,last_token,18,0.0261477341415155,0.9738522658584845,4
Qwen2.5-1.5B,authority_influence,education_general_knowledge,en,last_token,19,0.027855175902719742,0.9721448240972803,4
Qwen2.5-1.5B,authority_influence,education_general_knowledge,en,last_token,20,0.026403459690662656,0.9735965403093374,4
Qwen2.5-1.5B,authority_influence,education_general_knowledge,en,last_token,21,0.05116242957473008,0.94883757042527,4
Qwen2.5-1.5B,authority_influence,education_general_knowledge,en,last_token,22,0.05484825491930653,0.9451517450806934,4
Qwen2.5-1.5B,authority_influence,education_general_knowledge,en,last_token,23,0.05696518094367867,0.9430348190563214,4
Qwen2.5-1.5B,authority_influence,education_general_knowledge,en,last_token,24,0.04663870187661365,0.9533612981233863,4
Qwen2.5-1.5B,authority_influence,education_general_knowledge,en,last_token,25,0.045091093590921005,0.954908906409079,4
Qwen2.5-1.5B,authority_influence,education_general_knowledge,en,last_token,26,0.03575907670408465,0.9642409232959154,4
Qwen2.5-1.5B,authority_influence,education_general_knowledge,en,last_token,27,0.026948025792482205,0.9730519742075178,4
Qwen2.5-1.5B,authority_influence,education_general_knowledge,en,last_token,28,0.03956928327097997,0.96043071672902,4
Qwen2.5-1.5B,authority_influence,education_general_knowledge,en,mean_pooled,0,0.23752752729308252,0.7624724727069174,4
Qwen2.5-1.5B,authority_influence,education_general_knowledge,en,mean_pooled,1,0.11750034162118742,0.8824996583788126,4
Qwen2.5-1.5B,authority_influence,education_general_knowledge,en,mean_pooled,2,0.07811237763435946,0.9218876223656405,4
Qwen2.5-1.5B,authority_influence,education_general_knowledge,en,mean_pooled,3,0.10387640821498459,0.8961235917850154,4
Qwen2.5-1.5B,authority_influence,education_general_knowledge,en,mean_pooled,4,0.09815152214498957,0.9018484778550104,4
Qwen2.5-1.5B,authority_influence,education_general_knowledge,en,mean_pooled,5,0.10467685450617897,0.8953231454938211,4
Qwen2.5-1.5B,authority_influence,education_general_knowledge,en,mean_pooled,6,0.09654664550732472,0.9034533544926753,4
Qwen2.5-1.5B,authority_influence,education_general_knowledge,en,mean_pooled,7,0.08832032914785395,0.9116796708521461,4
Qwen2.5-1.5B,authority_influence,education_general_knowledge,en,mean_pooled,8,0.09148442438704074,0.9085155756129593,4
Qwen2.5-1.5B,authority_influence,education_general_knowledge,en,mean_pooled,9,0.10451462596340272,0.8954853740365973,4
