model,behaviour,pooling,layer,n_pairs,direction_norm
Qwen2.5-1.5B,delusion_acceptance,last_token,11,2,8.060903883036852
Qwen2.5-1.5B,delusion_acceptance,last_token,12,2,7.829202035954403
Qwen2.5-1.5B,delusion_acceptance,last_token,13,2,8.215492152082431
Qwen2.5-1.5B,delusion_acceptance,last_token,14,2,9.795356805119635
Qwen2.5-1.5B,delusion_acceptance,last_token,15,2,9.953524654007852
Qwen2.5-1.5B,delusion_acceptance,last_token,16,2,10.677300542975296
Qwen2.5-1.5B,delusion_acceptance,last_token,17,2,13.64645874828854
Qwen2.5-1.5B,delusion_acceptance,last_token,18,2,17.024093243220214
Qwen2.5-1.5B,delusion_acceptance,last_token,19,2,19.267151825942776
Qwen2.5-1.5B,delusion_acceptance,last_token,20,2,22.647515952633583
Qwen2.5-1.5B,delusion_acceptance,last_token,21,2,29.59344642823771
Qwen2.5-1.5B,delusion_acceptance,last_token,22,2,35.4019865061908
Qwen2.5-1.5B,delusion_acceptance,last_token,23,2,40.99132436395225
Qwen2.5-1.5B,delusion_acceptance,last_token,24,2,44.04289926905622
Qwen2.5-1.5B,delusion_acceptance,last_token,25,2,50.922385357189725
Qwen2.5-1.5B,delusion_acceptance,last_token,26,2,56.795456992822416
Qwen2.5-1.5B,delusion_acceptance,last_token,27,2,64.45513942624775
Qwen2.5-1.5B,delusion_acceptance,last_token,28,2,56.86542598197669
Qwen2.5-1.5B,delusion_acceptance,mean_pooled,0,2,0.13163712138680372
Qwen2.5-1.5B,delusion_acceptance,mean_pooled,1,2,2.961662669106565
Qwen2.5-1.5B,delusion_acceptance,mean_pooled,2,2,3.726543164440676
Qwen2.5-1.5B,delusion_acceptance,mean_pooled,3,2,5.239647038424351
Qwen2.5-1.5B,delusion_acceptance,mean_pooled,4,2,6.371356473195203
Qwen2.5-1.5B,delusion_acceptance,mean_pooled,5,2,7.287436307405792
Qwen2.5-1.5B,delusion_acceptance,mean_pooled,6,2,6.942642521290528
Qwen2.5-1.5B,delusion_acceptance,mean_pooled,7,2,7.275765181792714
Qwen2.5-1.5B,delusion_acceptance,mean_pooled,8,2,7.933238437126567
Qwen2.5-1.5B,delusion_acceptance,mean_pooled,9,2,8.714777542183205
Qwen2.5-1.5B,delusion_acceptance,mean_pooled,10,2,9.44421624195073
Qwen2.5-1.5B,delusion_acceptance,mean_pooled,11,2,10.019747652077156
Qwen2.5-1.5B,delusion_acceptance,mean_pooled,12,2,10.953185342487348
Qwen2.5-1.5B,delusion_acceptance,mean_pooled,13,2,11.2123747681219
Qwen2.5-1.5B,delusion_acceptance,mean_pooled,14,2,11.889628077081735
Qwen2.5-1.5B,delusion_acceptance,mean_pooled,15,2,11.8286027745506
Qwen2.5-1.5B,delusion_acceptance,mean_pooled,16,2,13.310424168228773
Qwen2.5-1.5B,delusion_acceptance,mean_pooled,17,2,14.496827401996518
Qwen2.5-1.5B,delusion_acceptance,mean_pooled,18,2,16.00446059943966
Qwen2.5-1.5B,delusion_acceptance,mean_pooled,19,2,17.003458341479092
Qwen2.5-1.5B,delusion_acceptance,mean_pooled,20,2,19.46946920285712
Qwen2.5-1.5B,delusion_acceptance,mean_pooled,21,2,23.46056817974509
Qwen2.5-1.5B,delusion_acceptance,mean_pooled,22,2,28.448325398202492
Qwen2.5-1.5B,delusion_acceptance,mean_pooled,23,2,32.321166265853975
Qwen2.5-1.5B,delusion_acceptance,mean_pooled,24,2,36.17697197338848
Qwen2.5-1.5B,delusion_acceptance,mean_pooled,25,2,43.21015915545707
Qwen2.5-1.5B,delusion_acceptance,mean_pooled,26,2,46.50879090679671
Qwen2.5-1.5B,delusion_acceptance,mean_pooled,27,2,51.434912199007535
Qwen2.5-1.5B,delusion_acceptance,mean_pooled,28,2,48.495906644941996
Qwen2.5-1.5B,mirroring,last_token,0,4,0.0
Qwen2.5-1.5B,mirroring,last_token,1,4,1.0356774878946864
Qwen2.5-1.5B,mirroring,last_token,2,4,1.9421152040185097
Qwen2.5-1.5B,mirroring,last_token,3,4,2.4746417474416993
Qwen2.5-1.5B,mirroring,last_token,4,4,4.86380813681616
Qwen2.5-1.5B,mirroring,last_token,5,4,5.214469960495757
Qwen2.5-1.5B,mirroring,last_token,6,4,6.489153716037099
Qwen2.5-1.5B,mirroring,last_token,7,4,6.507761023983455
Qwen2.5-1.5B,mirroring,last_token,8,4,6.635391975231021
Qwen2.5-1.5B,mirroring,last_token,9,4,6.238453548420341
Qwen2.5-1.5B,mirroring,last_token,10,4,6.134515530722013
Qwen2.5-1.5B,mirroring,last_token,11,4,6.497780784076212
Qwen2.5-1.5B,mirroring,last_token,12,4,5.790625822284307
Qwen2.5-1.5B,mirroring,last_token,13,4,6.227008000576939
Qwen2.5-1.5B,mirroring,last_token,14,4,6.810843774542133
Qwen2.5-1.5B,mirroring,last_token,15,4,6.98802774077871
Qwen2.5-1.5B,mirroring,last_token,16,4,7.5867129411339675
Qwen2.5-1.5B,mirroring,last_token,17,4,9.368963628185004
Qwen2.5-1.5B,mirroring,last_token,18,4,10.813978429483917
Qwen2.5-1.5B,mirroring,last_token,19,4,12.513172702941263
Qwen2.5-1.5B,mirroring,last_token,20,4,14.36649277477789
Qwen2.5-1.5B,mirroring,last_token,21,4,20.002302996825126
Qwen2.5-1.5B,mirroring,last_token,22,4,24.869944250375603
Qwen2.5-1.5B,mirroring,last_token,23,4,26.945519121005677
Qwen2.5-1.5B,mirroring,last_token,24,4,31.367925589990737
Qwen2.5-1.5B,mirroring,last_token,25,4,36.47649836167592
Qwen2.5-1.5B,mirroring,last_token,26,4,41.070351864069956
Qwen2.5-1.5B,mirroring,last_token,27,4,49.51081472612823
Qwen2.5-1.5B,mirroring,last_token,28,4,39.10027393841189
Qwen2.5-1.5B,mirroring,mean_pooled,0,4,0.1041277025235439
Qwen2.5-1.5B,mirroring,mean_pooled,1,4,2.4797138417364977
Qwen2.5-1.5B,mirroring,mean_pooled,2,4,3.325251025849894
Qwen2.5-1.5B,mirroring,mean_pooled,3,4,4.758950489238851
Qwen2.5-1.5B,mirroring,mean_pooled,4,4,5.887303559563108
Qwen2.5-1.5B,mirroring,mean_pooled,5,4,6.79687130446173
Qwen2.5-1.5B,mirroring,mean_pooled,6,4,7.572082811934
Qwen2.5-1.5B,mirroring,mean_pooled,7,4,8.008532579293906
Qwen2.5-1.5B,mirroring,mean_pooled,8,4,8.73816865783659
Qwen2.5-1.5B,mirroring,mean_pooled,9,4,9.6364930524639
Qwen2.5-1.5B,mirroring,mean_pooled,10,4,11.152562832949956
Qwen2.5-1.5B,mirroring,mean_pooled,11,4,11.552485326549274
Qwen2.5-1.5B,mirroring,mean_pooled,12,4,12.565951222627557
Qwen2.5-1.5B,mirroring,mean_pooled,13,4,12.831918972438942
Qwen2.5-1.5B,mirroring,mean_pooled,14,4,13.748923226710026
Qwen2.5-1.5B,mirroring,mean_pooled,15,4,13.503110251811899
Qwen2.5-1.5B,mirroring,mean_pooled,16,4,14.552652740942163
Qwen2.5-1.5B,mirroring,mean_pooled,17,4,14.760897907670948
Qwen2.5-1.5B,mirroring,mean_pooled,18,4,16.03851794650373
Qwen2.5-1.5B,mirroring,mean_pooled,19,4,17.447084574315777
Qwen2.5-1.5B,mirroring,mean_pooled,20,4,20.037775283897187
Qwen2.5-1.5B,mirroring,mean_pooled,21,4,22.628494973165935
Qwen2.5-1.5B,mirroring,mean_pooled,22,4,26.378232403621325
Qwen2.5-1.5B,mirroring,mean_pooled,23,4,31.506491505347736
Qwen2.5-1.5B,mirroring,mean_pooled,24,4,36.988121742080374
Qwen2.5-1.5B,mirroring,mean_pooled,25,4,42.20552265119074
Qwen2.5-1.5B,mirroring,mean_pooled,26,4,45.322947922128876
Qwen2.5-1.5B,mirroring,mean_pooled,27,4,47.32504219161673
Qwen2.5-1.5B,mirroring,mean_pooled,28,4,42.519665471118344
Qwen2.5-1.5B,revision_under_pressure,last_token,0,6,0.0
Qwen2.5-1.5B,revision_under_pressure,last_token,1,6,0.8599689602151422
Qwen2.5-1.5B,revision_under_pressure,last_token,2,6,1.6901442786368852
Qwen2.5-1.5B,revision_under_pressure,last_token,3,6,2.6586488322833595
Qwen2.5-1.5B,revision_under_pressure,last_token,4,6,4.40812062713983
Qwen2.5-1.5B,revision_under_pressure,last_token,5,6,5.47753216324284
Qwen2.5-1.5B,revision_under_pressure,last_token,6,6,5.9828908258151055
Qwen2.5-1.5B,revision_under_pressure,last_token,7,6,5.563371272299089
Qwen2.5-1.5B,revision_under_pressure,last_token,8,6,6.252085130421451
Qwen2.5-1.5B,revision_under_pressure,last_token,9,6,7.622333005558164
Qwen2.5-1.5B,revision_under_pressure,last_token,10,6,9.485167845229665
Qwen2.5-1.5B,revision_under_pressure,last_token,11,6,9.229354988009707
Qwen2.5-1.5B,revision_under_pressure,last_token,12,6,9.140939019899548
Qwen2.5-1.5B,revision_under_pressure,last_token,13,6,9.569863213175324
Qwen2.5-1.5B,revision_under_pressure,last_token,14,6,13.14673583853997
Qwen2.5-1.5B,revision_under_pressure,last_token,15,6,13.631366849144008
Qwen2.5-1.5B,revision_under_pressure,last_token,16,6,14.942418599300582
Qwen2.5-1.5B,revision_under_pressure,last_token,17,6,16.78183080811207
Qwen2.5-1.5B,revision_under_pressure,last_token,18,6,19.317411301847212
Qwen2.5-1.5B,revision_under_pressure,last_token,19,6,21.695373189865126
Qwen2.5-1.5B,revision_under_pressure,last_token,20,6,24.256035849186883
Qwen2.5-1.5B,revision_under_pressure,last_token,21,6,34.763676353440594
Qwen2.5-1.5B,revision_under_pressure,last_token,22,6,43.524871647471414
Qwen2.5-1.5B,revision_under_pressure,last_token,23,6,54.41988551289445
Qwen2.5-1.5B,revision_under_pressure,last_token,24,6,60.70748227271092
Qwen2.5-1.5B,revision_under_pressure,last_token,25,6,65.75553954170658
Qwen2.5-1.5B,revision_under_pressure,last_token,26,6,71.7956837991186
